Player,Offense,Defense,GP,Name,Squad,Viable
"MINI PINKUSFLOYD",1,1,157442,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"MINI PINKUSFLOYD",1,1,160770,GL Rey,"zzzzzzRey zzChewbacca zGK zResistance Hero Poe, zResistance Hero Finn",1
"MINI PINKUSFLOYD",,,164085,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"MINI PINKUSFLOYD",0,1,104662,Qira,"Qira zL3-37 zVandor Chewbacca, zMission zZaalbar",1
"MINI PINKUSFLOYD",1,1,118250,NS,"zzMT zzAV zDaka Zombie Spirit",1
"MINI PINKUSFLOYD",,,151856,JMLS,"zzzzzzJMLS zzJKL zzHYoda zzOld Ben, Ezra",1
"MINI PINKUSFLOYD",,,515048,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"MINI PINKUSFLOYD",,,369673,Malevolence,"Malevolence Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber, Vulture Droid, IG-2000",1
"MINI PINKUSFLOYD",,,472310,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"MINI PINKUSFLOYD",0,1,105218,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"MINI PINKUSFLOYD",1,0,133127,Traya,"zzTraya zDN zSion zzEP Sith Empire Trooper",1
"MINI PINKUSFLOYD",0,1,133433,Grievous-Wat,"zzGG zB2 zB1 MagnaGuard zWat Tambor",1
"MINI PINKUSFLOYD",1,1,154339,JTR,"zzzJTR zScav Rey, zzBB-8 zzR2-D2 zFinn",1
"MINI PINKUSFLOYD",,,529879,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter",1
"MINI PINKUSFLOYD",,,100722,Mon Mothma,"zzMon Mothma, Pao 8, Chirrut Baze Bistan",1
"MINI PINKUSFLOYD",1,1,154091,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"MINI PINKUSFLOYD",1,1,148513,Revan Offense,"zzzJKR zGMY zBS zJolee zJKA",1
"MINI PINKUSFLOYD",,,131405,Nute-Sep,"zNute zDooku zzJango zNest zDroideka",1
"MINI PINKUSFLOYD",1,1,87648,Ewoks,"zChirpa Elder Paploo zWicket Logray",1
"MINI PINKUSFLOYD",0,1,123639,BH,"zzBossk zThe Mandalorian, zBoba zEmbo Dengar",1
"MINI PINKUSFLOYD",1,0,130533,Troopers,"zVeers zStarck zzMoff Gideon, zzAdmiral Piett, Range Trooper",1
"MINI PINKUSFLOYD",1,0,133694,Wiggs,"Wedge Biggs zzzCLS zHan zzC-3PO",1
"MINI PINKUSFLOYD",0,1,84407,Phoenix,"Hera Zeb Sabine Chopper Kanan",1
"MINI PINKUSFLOYD",1,0,67227,Jawas,"Nebit 8, Jawa Engineer 9, Jawa Scavenger 8, Jawa 9, Dathcha 9",1
"Lazercat",1,1,159222,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Lazercat",,,160614,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Lazercat",1,1,116280,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Lazercat",0,1,143665,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"Lazercat",1,0,132714,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 zChewpio",1
"Lazercat",,,506752,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"Lazercat",,,359829,Malevolence,"Malevolence Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber, Vulture Droid, IG-2000",1
"Lazercat",,,130815,JKL,"zzJKL zzzJKR zHYoda zzOld Ben, zEzra",1
"Lazercat",,,376909,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Lazercat",0,1,102364,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Lazercat",0,1,131532,Grievous-Wat,"zzGG zB2 zB1 MagnaGuard zWat Tambor",1
"Lazercat",1,0,119259,Traya,"zzTraya zDN zSion zzEP Sith Empire Trooper",1
"Lazercat",,,442483,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter",1
"Lazercat",,,112340,Nute-OR,"zNute zDooku zzJango zZaalbar zMission",1
"Lazercat",1,1,153938,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Lazercat",1,1,81938,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Lazercat",0,1,96968,BH,"zzBossk zThe Mandalorian, Boba Greedo Dengar",1
"Lazercat",1,0,115608,Troopers,"zVeers zStarck zzMoff Gideon, zzAdmiral Piett, Range Trooper",1
